"class";"x.1";"x.2";"x.3";"x.4"
"1";-3,16778236764047;-2,64978807648737;-2,7129511798262;1,64615279826319
"1";-2,93181075247974;-3,40846274074033;-3,74428556093004;-4,14078492240423
"1";-2,10156979219661;-3,01691928960968;-2,89647539440902;-3,57159170832286
"1";-3,74057020642164;-3,25198644103551;-3,14840009692763;1,29722600437726
"1";-2,65584441604045;-3,16642013799425;-2,81699117822964;0,230996450740179
"1";-2,74687710442902;-3,26369582376348;-3,11495544011994;-1,45751706363317
"1";-2,5350113296221;-2,33526484302459;-1,90375976483176;-3,61654568258923
"1";-2,32000489661502;-4,39748861881041;-4,38557407378549;2,58286147257707
"1";-3,60646487133543;-2,18972919894674;-2,58559811940164;5,68309651514035
"1";-3,31841830458276;-2,2579767902831;-2,5356931144186;-3,15112073644586
"1";-2,22498087566269;-2,37400683259831;-2,49760740484718;0,840975981204838
"1";-2,66965176205491;-2,07517484288502;-2,07473433969421;1,32252501127588
"1";-2,84942154321985;-2,55196585176946;-2,33126094184505;-1,39984949152693
"1";-3,42111951175758;-2,23071731914187;-2,18942735968179;-3,81415684611086
"1";-3,17631599496196;-2,99121222654508;-3,11275437077714;-1,1752373684284
"1";-2,74986531721697;-2,86014172168368;-2,64460451435418;2,29998829132209
"1";-3,77755568751681;-3,36077712577844;-3,43993567444877;-1,57566764133424
"1";-3,01018173380895;-3,25292721838429;-3,19291867609052;-0,180983212114833
"1";-2,38018182918929;-2,75615803126842;-2,64622248136481;-0,58741110439072
"1";-3,50592863793407;-0,931331900483899;-1,82162612165209;-0,987714308069453
"1";-2,37614550898066;-4,18012327953421;-3,50580518528183;1,87255459638739
"1";-2,80957261435713;-1,44458113649404;-1,78198206128549;-2,54553506670319
"1";-3,7043455090464;-2,21554982598371;-2,68339322900204;3,17774153295943
"1";-3,43478621193937;-1,60367283743382;-2,22136736045408;-0,997277777395861
"1";-2,79786885624211;-1,60841764346041;-2,29104406936218;-2,93175999763817
"1";-2,23998812310375;-4,76199989401806;-4,27263036346454;2,90619694225662
"1";-3,35779078273417;-1,47680755464136;-1,98886325677394;-0,0142522728428811
"1";-3,28018395994358;-3,51442092455078;-3,50990804733134;-1,15396056627884
"1";-3,36335717058104;-2,87433391276342;-3,07751194185977;3,20332518497965
"1";-2,22588221359571;-4,42943599313416;-3,63373201414482;-3,97575227310954
"1";-2,41125227103344;-4,52348791610193;-4,60064765894348;0,0939192129445328
"1";-2,89456644919724;-2,28380478111839;-1,46610527149266;-3,47914918077186
"1";-2,27893671145108;-4,07859311657256;-4,36568154159986;0,938981346850063
"1";-2,96709072702139;-2,50982218691383;-2,7135655824337;-3,22028610137277
"1";-3,20124053482392;-2,46603828731486;-2,59919240287304;-3,15576481203428
"1";-2,90431376067804;-3,32172618814396;-3,44937030609456;1,73108758612898
"1";-2,74284175984654;-3,51394315910527;-2,87838867905988;-1,91844038771538
"1";-3,28631571269447;-2,65445973665916;-2,68137534302106;2,40716663701243
"1";-1,27795067567902;-4,8924120487371;-4,38778343248613;0,838734756382738
"1";-3,01165958508434;-2,95622280539571;-2,66377442711214;0,918665397253231
"1";-2,78122628061635;-2,57472286002622;-2,81580773904118;-0,250394846678307
"1";-3,58155920307935;-1,92866895133922;-2,01647624190202;-3,61364477137538
"1";-3,59203000934193;-2,53324656543247;-2,83184913541935;-0,609869287916618
"1";-2,91843615094715;-3,04431301558494;-3,0114707345311;3,48627084552912
"1";-3,30192615522771;-2,28422896184597;-2,03497346815251;1,58786519943573
"1";-3,11155311840249;-2,67910740531404;-2,78460434114165;1,49982802723314
"1";-3,52528363137962;-2,56625456092015;-2,36566760336871;-1,09933024222795
"1";-3,04263686210568;-2,72810432492641;-2,55499969122259;1,5282118879994
"1";-3,74417265334437;-1,64681927896738;-2,11967680663007;-3,25588663066264
